Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
Sr Data Scientist,137-171 ,3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,171,154, NY,1,27,0,0,0,0,1,0,0,data scientist,senior
Data Scientist,137-171 ,4.2,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137,171,154, VA,0,52,0,0,1,0,0,0,1,data scientist,na
Data Scientist,137-171 ,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),137,171,154, MA,1,39,1,1,0,0,1,0,0,data scientist,na
Data Scientist,137-171 ,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),137,171,154, MA,0,20,1,1,0,0,1,0,0,data scientist,na
Data Scientist,137-171 ,2.9,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,137,171,154, NY,1,22,1,1,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,171,154, CA,1,10,1,1,1,1,0,0,0,data scientist,na
Data Scientist / Machine Learning Expert,137-171 ,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,171,154, MA,0,24,1,0,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),137,171,154, MA,1,30,1,0,0,0,0,0,0,data scientist,na
Staff Data Scientist - Analytics,137-171 ,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,171,154, CA,0,37,0,0,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,171,154, IL,1,6,1,0,0,0,0,0,0,data scientist,na
Data Scientist,137-171 ,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,171,154, VA,0,8,1,1,0,0,1,0,0,data scientist,na
Data Scientist,137-171 ,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,137,171,154, MO,1,4,1,0,0,1,0,0,0,data scientist,na
"Data Scientist - Statistics, Early Career",137-171 ,3.7,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),137,171,154, WA,1,55,0,1,0,0,0,0,0,data scientist,na
Data Modeler,137-171 ,3.1,Old World Industries,"Northbrook, IL","Northbrook, IL",201 to 500 employees,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),137,171,154, IL,1,47,1,1,0,0,0,1,0,na,na
Data Scientist,137-171 ,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001 to 5000 employees,Company - Private,Consulting,Business Services,$100 to $500 million (USD),137,171,154, DC,0,34,1,1,0,0,1,0,0,data scientist,na
